uid,x,y,z,l,w,h
1,0,0,0,3,4,3
2,3,0,0,5,4,3
3,8,0,0,3,4,3
4,0,4,0,4,6,3
5,4,4,0,3,6,3
6,7,4,0,6,6,3
7,13,4,0,3,6,5
8,13,5,5,3,5,5
9,11,0,0,5,4,5
10,0,4,3,3,6,3
11,3,4,3,5,6,5
12,11,0,5,5,4,5
13,0,0,3,6,4,5
14,13,5,10,3,5,4
15,0,0,8,3,4,6
16,6,0,3,5,4,3
17,0,4,6,3,6,5
18,0,4,11,3,6,3
19,8,4,3,5,6,5
20,3,4,8,4,6,3
21,6,0,6,4,4,5
22,3,4,11,3,6,6
23,6,0,11,4,4,4
24,7,6,8,6,4,5
25,0,4,14,3,6,3
26,13,5,14,3,5,3
27,7,6,13,6,4,4
28,0,0,14,3,4,3
