l,w,h
240,450,230
280,230,230
170,150,150
380,440,310
210,470,190
180,280,150
330,400,310
380,480,310
440,500,310
380,470,270
330,360,310
490,500,310
170,250,150
350,450,310
430,390,310
490,440,310
490,480,310
160,440,150
480,480,310
500,500,310
310,360,310
230,380,230
260,160,150
