l,w,h
360,430,310
160,250,160
530,480,150
310,450,310
320,460,310
160,220,150
180,260,150
170,240,150
180,240,150
200,200,150
150,460,150
200,450,150
180,460,150
340,490,310
490,460,310
360,460,310
390,510,310
530,510,310
470,460,310
510,460,310
